データ日時,発電量(kwh),消費量(kwh),売電量(kwh),買電量(kwh)
2024/09/01 00:00,0,0.3,0,0.33
2024/09/01 01:00,0,0.3,0,0.33
2024/09/01 02:00,0,0.28,0,0.31
2024/09/01 03:00,0,0.29,0,0.32
2024/09/01 04:00,0,0.22,0,0.25
2024/09/01 05:00,0.11,0.28,0,0.18
2024/09/01 06:00,0.84,0.2,0.01,0.01
2024/09/01 07:00,1.48,0.3,0,0
2024/09/01 08:00,2.88,0.42,0.13,0
2024/09/01 09:00,6.29,0.46,3.1,0
2024/09/01 10:00,7.44,0.37,7.06,0
2024/09/01 11:00,7.34,0.22,7.12,0
2024/09/01 12:00,4.81,1.02,3.79,0
2024/09/01 13:00,3.29,0.56,2.73,0
2024/09/01 14:00,2.22,0.39,1.83,0
2024/09/01 15:00,2.21,0.41,1.8,0
2024/09/01 16:00,1.8,0.81,1.24,0
2024/09/01 17:00,0.09,2.01,0.01,0.01
2024/09/01 18:00,0,0.6,0,0
2024/09/01 19:00,0,0.95,0.01,0
2024/09/01 20:00,0,0.9,0,0.01
2024/09/01 21:00,0,0.49,0.01,0.01
2024/09/01 22:00,0,0.55,0,0
2024/09/01 23:00,0,0.33,0,0.37
2024/09/02 00:00,0,0.37,0,0.4
2024/09/02 01:00,0,0.36,0,0.39
2024/09/02 02:00,0,0.22,0,0.25
2024/09/02 03:00,0,0.25,0,0.28
2024/09/02 04:00,0,0.4,0,0.43
2024/09/02 05:00,0.08,0.25,0,0.2
2024/09/02 06:00,0.23,0.65,0,0.43
2024/09/02 07:00,1.96,0.42,0.18,0
2024/09/02 08:00,3.1,0.23,0.53,0
2024/09/02 09:00,3.12,0.22,0.5,0
2024/09/02 10:00,4,0.19,2.98,0
2024/09/02 11:00,5.14,0.17,4.97,0
2024/09/02 12:00,1.36,0.18,1.18,0
2024/09/02 13:00,1.32,0.18,1.15,0
2024/09/02 14:00,0.8,0.18,0.63,0
2024/09/02 15:00,0.74,0.18,0.56,0
2024/09/02 16:00,0.26,0.91,0.12,0
2024/09/02 17:00,0.01,1.26,0,0
2024/09/02 18:00,0,0.77,0.01,0.02
2024/09/02 19:00,0,0.79,0.01,0.01
2024/09/02 20:00,0,0.41,0.01,0
2024/09/02 21:00,0,0.74,0,0.01
2024/09/02 22:00,0,0.38,0.01,0.01
