データ日時,発電量(kwh),消費量(kwh),売電量(kwh),買電量(kwh)
2025/10/21 00:00,0,0.31,0,0.35
2025/10/21 01:00,0,0.29,0,0.33
2025/10/21 02:00,0,0.26,0,0.29
2025/10/21 03:00,0,0.36,0,0.4
2025/10/21 04:00,0,0.47,0,0.51
2025/10/21 05:00,0,0.4,0,0.44
2025/10/21 06:00,0.15,0.74,0,0.61
2025/10/21 07:00,1.06,0.74,0,0.02
2025/10/21 08:00,4.61,0.35,0.5,0
2025/10/21 09:00,4.17,0.3,1.7,0
2025/10/21 10:00,6.07,0.29,5.78,0
2025/10/21 11:00,3.78,0.3,3.49,0
2025/10/21 12:00,2.02,0.35,1.67,0
2025/10/21 13:00,1.49,0.3,1.19,0
2025/10/21 14:00,1.23,0.35,0.89,0
2025/10/21 15:00,0.37,0.3,0.19,0
2025/10/21 16:00,0.04,0.89,0.01,0.01
2025/10/21 17:00,0,2.27,0.01,0.01
2025/10/21 18:00,0,1.14,0.01,0.02
2025/10/21 19:00,0,1.57,0.01,0.63
2025/10/21 20:00,0,1.03,0,1.06
2025/10/21 21:00,0,1.13,0,1.16
2025/10/21 22:00,0,0.67,0,0.7
2025/10/21 23:00,0,1.35,0,1.38
2025/10/22 00:00,0,0.64,0,0.67
2025/10/22 01:00,0,0.55,0,0.58
2025/10/22 02:00,0,0.55,0,0.58
2025/10/22 03:00,0,0.58,0,0.61
2025/10/22 04:00,0,0.86,0,0.89
2025/10/22 05:00,0,1.45,0,1.48
2025/10/22 06:00,0.37,0.68,0,0.36
2025/10/22 07:00,1.46,0.65,0.01,0
2025/10/22 08:00,3.54,0.33,0.03,0.01
2025/10/22 09:00,3.81,0.31,1.01,0
2025/10/22 10:00,3.61,0.36,3.25,0
2025/10/22 11:00,3.34,0.39,2.95,0
2025/10/22 12:00,2.51,0.32,2.19,0
2025/10/22 13:00,2.15,0.3,1.85,0
2025/10/22 14:00,1.26,0.3,0.96,0
2025/10/22 15:00,0.67,0.29,0.38,0
2025/10/22 16:00,0.08,1.22,0.01,0.01
2025/10/22 17:00,0,2.16,0.01,0.01
2025/10/22 18:00,0,2.76,0.01,0.95
2025/10/22 19:00,0,2.15,0,2.18
2025/10/22 20:00,0,0.79,0,0.82
2025/10/22 21:00,0,0.98,0,1.02
2025/10/22 22:00,0,0.63,0,0.67
2025/10/22 23:00,0,0.56,0,0.6
2025/10/23 00:00,0,0.55,0,0.59
2025/10/23 01:00,0,0.53,0,0.56
2025/10/23 02:00,0,0.61,0,0.65
2025/10/23 03:00,0,0.53,0,0.57
2025/10/23 04:00,0,0.74,0,0.77
2025/10/23 05:00,0,0.59,0,0.62
2025/10/23 06:00,0.28,0.7,0,0.45
2025/10/23 07:00,2.33,0.63,0.01,0.01
2025/10/23 08:00,4.94,0.4,0.22,0
2025/10/23 09:00,6.16,0.39,5.58,0
2025/10/23 10:00,6.9,0.34,6.56,0
2025/10/23 11:00,6.18,0.29,5.89,0
2025/10/23 12:00,6.99,0.28,6.71,0
2025/10/23 13:00,2.84,0.29,2.55,0
2025/10/23 14:00,1.9,0.3,1.6,0
