データ日時,発電量(kwh),消費量(kwh),売電量(kwh),買電量(kwh)
2025/05/01 00:00,0,0.49,0.01,0
2025/05/01 01:00,0,0.97,0,0.66
2025/05/01 02:00,0,0.33,0,0.37
2025/05/01 03:00,0,0.37,0,0.4
2025/05/01 04:00,0.01,0.47,0,0.48
2025/05/01 05:00,0.38,0.52,0,0.23
2025/05/01 06:00,2.14,1.14,0.01,0.32
2025/05/01 07:00,4.44,0.35,0.1,0
2025/05/01 08:00,6.43,0.68,4.75,0
2025/05/01 09:00,7.83,0.55,7.28,0
2025/05/01 10:00,8.08,1.17,6.9,0
2025/05/01 11:00,7.88,0.47,7.41,0
2025/05/01 12:00,8.41,0.57,7.83,0
2025/05/01 13:00,7.91,0.48,7.43,0
2025/05/01 14:00,5.9,0.45,5.45,0
2025/05/01 15:00,4.86,0.51,4.35,0
2025/05/01 16:00,2.69,1.48,1.23,0
2025/05/01 17:00,0.77,1.54,0.01,0.01
2025/05/01 18:00,0.02,0.35,0.01,0.01
2025/05/01 19:00,0,1.13,0.01,0.03
2025/05/01 20:00,0,0.3,0,0
2025/05/01 21:00,0,0.73,0.01,0
2025/05/01 22:00,0,0.46,0.01,0.01
2025/05/01 23:00,0,0.57,0,0
2025/05/02 00:00,0,0.24,0,0
2025/05/02 01:00,0,0.26,0,0
2025/05/02 02:00,0,0.31,0,0
2025/05/02 03:00,0,0.51,0,0.4
2025/05/02 04:00,0,0.47,0,0.5
2025/05/02 05:00,0.32,0.33,0,0.12
2025/05/02 06:00,2.17,0.4,0.01,0.01
2025/05/02 07:00,5.38,1.01,0.25,0.01
2025/05/02 08:00,5.72,0.28,4.75,0
2025/05/02 09:00,7.59,0.32,7.27,0
2025/05/02 10:00,5.77,0.32,5.46,0
2025/05/02 11:00,2.21,0.27,1.94,0
2025/05/02 12:00,1.76,0.38,1.38,0
2025/05/02 13:00,1.01,0.28,0.74,0
2025/05/02 14:00,0.75,0.34,0.42,0
2025/05/02 15:00,1.16,0.3,0.86,0
2025/05/02 16:00,0.42,1.55,0.05,0.01
2025/05/02 17:00,0.07,1.65,0.01,0.01
2025/05/02 18:00,0,0.32,0.01,0
2025/05/02 19:00,0,0.4,0.01,0
2025/05/02 20:00,0,0.35,0,0
2025/05/02 21:00,0,0.63,0.01,0.01
2025/05/02 22:00,0,0.31,0.01,0
2025/05/02 23:00,0,0.28,0.01,0
2025/05/03 00:00,0,0.31,0.01,0
2025/05/03 01:00,0,0.26,0,0.27
2025/05/03 02:00,0,0.25,0,0.28
2025/05/03 03:00,0,0.26,0,0.3
2025/05/03 04:00,0,0.25,0,0.28
2025/05/03 05:00,0.09,0.29,0,0.2
2025/05/03 06:00,0.74,0.33,0.01,0.01
2025/05/03 07:00,3.1,0.42,0.01,0.01
2025/05/03 08:00,6.88,0.82,2.32,0.01
2025/05/03 09:00,7.86,0.41,7.44,0
2025/05/03 10:00,8.38,0.22,8.16,0
2025/05/03 11:00,6.31,0.27,6.04,0
2025/05/03 12:00,4.99,0.26,4.73,0
2025/05/03 13:00,4.4,0.27,4.14,0
2025/05/03 14:00,3.1,0.48,2.62,0
2025/05/03 15:00,1.49,0.74,0.87,0
2025/05/03 16:00,1.08,1.89,0.01,0.01
2025/05/03 17:00,0.29,1.74,0.01,0.01
2025/05/03 18:00,0,0.27,0,0
2025/05/03 19:00,0,0.26,0,0
2025/05/03 20:00,0,0.28,0.01,0
2025/05/03 21:00,0,0.83,0.01,0.01
2025/05/03 22:00,0,0.4,0.01,0
2025/05/03 23:00,0,0.31,0,0
2025/05/04 00:00,0,0.26,0.01,0
2025/05/04 01:00,0,0.27,0.01,0
2025/05/04 02:00,0,0.26,0,0.29
2025/05/04 03:00,0,0.26,0,0.3
2025/05/04 04:00,0,0.32,0,0.36
2025/05/04 05:00,0.04,0.27,0,0.24
2025/05/04 06:00,0.72,0.27,0,0.05
2025/05/04 07:00,2.73,0.33,0.05,0.01
2025/05/04 08:00,3.1,0.73,0.03,0.01
2025/05/04 09:00,3.87,0.6,1.81,0
