データ日時,発電量(kwh),消費量(kwh),売電量(kwh),買電量(kwh)
2025/02/01 00:00,0,1.04,0,1.08
2025/02/01 01:00,0,1.03,0,1.07
2025/02/01 02:00,0,0.96,0,1
2025/02/01 03:00,0,1,0,1.04
2025/02/01 04:00,0,1.11,0,1.14
2025/02/01 05:00,0,1.09,0,1.13
2025/02/01 06:00,0,1.8,0,1.84
2025/02/01 07:00,0,1.61,0,1.64
2025/02/01 08:00,0,0.96,0,0.97
2025/02/01 09:00,0.01,0.75,0,0.75
2025/02/01 10:00,0.04,0.93,0,0.9
2025/02/01 11:00,0.13,2.09,0,1.97
2025/02/01 12:00,0.08,1.81,0,1.73
2025/02/01 13:00,0.08,1.06,0,0.99
2025/02/01 14:00,0.08,1.17,0,1.11
2025/02/01 15:00,0.01,3.01,0,3.01
2025/02/01 16:00,0,2.96,0,2.99
2025/02/01 17:00,0,3.26,0,3.3
2025/02/01 18:00,0,3.35,0,3.39
2025/02/01 19:00,0,2.52,0,2.56
2025/02/01 20:00,0,1.12,0,1.16
2025/02/01 21:00,0,1.07,0,1.11
2025/02/01 22:00,0,1.01,0,1.05
2025/02/01 23:00,0,1.13,0,1.16
2025/02/02 00:00,0,1.03,0,1.07
2025/02/02 01:00,0,0.91,0,0.94
2025/02/02 02:00,0,1.04,0,1.08
2025/02/02 03:00,0,1.33,0,1.37
2025/02/02 04:00,0,1.24,0,1.28
2025/02/02 05:00,0,1.11,0,1.15
2025/02/02 06:00,0,1.2,0,1.24
2025/02/02 07:00,0,1.14,0,1.15
2025/02/02 08:00,0.06,1,0,0.95
2025/02/02 09:00,0.15,1.48,0,1.34
2025/02/02 10:00,0.22,1.31,0,1.1
2025/02/02 11:00,0.25,0.96,0,0.72
2025/02/02 12:00,0.27,0.74,0,0.49
2025/02/02 13:00,0.31,0.69,0,0.39
2025/02/02 14:00,0.27,0.64,0,0.39
2025/02/02 15:00,0.13,1.56,0,1.44
2025/02/02 16:00,0.01,2.78,0,2.78
2025/02/02 17:00,0,3.66,0,3.7
2025/02/02 18:00,0,3.43,0,3.47
2025/02/02 19:00,0,3.14,0,3.18
2025/02/02 20:00,0,1.3,0,1.34
2025/02/02 21:00,0,1.39,0,1.43
2025/02/02 22:00,0,1.02,0,1.06
2025/02/02 23:00,0,1.16,0,1.2
2025/02/03 00:00,0,0.97,0,1.01
2025/02/03 01:00,0,0.95,0,0.99
2025/02/03 02:00,0,1.17,0,1.21
2025/02/03 03:00,0,0.97,0,1.01
2025/02/03 04:00,0,1.29,0,1.33
2025/02/03 05:00,0,1.08,0,1.12
2025/02/03 06:00,0,1.14,0,1.18
2025/02/03 07:00,0.02,1.27,0,1.26
2025/02/03 08:00,0.11,0.96,0,0.86
2025/02/03 09:00,0.21,0.98,0,0.78
2025/02/03 10:00,0.3,1.13,0,0.84
2025/02/03 11:00,0.15,0.76,0,0.62
2025/02/03 12:00,0.22,0.87,0,0.66
2025/02/03 13:00,0.15,0.73,0,0.59
2025/02/03 14:00,0.09,0.86,0,0.77
2025/02/03 15:00,0.03,2.1,0,2.09
2025/02/03 16:00,0,2.66,0,2.69
2025/02/03 17:00,0,1.85,0,1.89
2025/02/03 18:00,0,1.3,0,1.34
2025/02/03 19:00,0,1.32,0,1.36
2025/02/03 20:00,0,1.18,0,1.22
2025/02/03 21:00,0,1.21,0,1.24
2025/02/03 22:00,0,0.81,0,0.85
2025/02/03 23:00,0,1.08,0,1.12
2025/02/04 00:00,0,1.39,0,1.43
2025/02/04 01:00,0,0.9,0,0.94
2025/02/04 02:00,0,1.05,0,1.08
2025/02/04 03:00,0,0.76,0,0.8
2025/02/04 04:00,0,1.1,0,1.14
2025/02/04 05:00,0,0.91,0,0.95
2025/02/04 06:00,0,2.51,0,2.55
2025/02/04 07:00,0,0.96,0,0.97
2025/02/04 08:00,0.11,0.65,0,0.55
2025/02/04 09:00,0.19,0.79,0,0.61
2025/02/04 10:00,0.36,0.68,0,0.4
2025/02/04 11:00,0.44,0.78,0,0.35
2025/02/04 12:00,0.21,1.58,0,1.37
2025/02/04 13:00,0.16,0.89,0,0.72
2025/02/04 14:00,0.13,0.9,0,0.77
2025/02/04 15:00,0.06,3,0,2.94
2025/02/04 16:00,0,2.79,0,2.8
2025/02/04 17:00,0,2.2,0,2.23
2025/02/04 18:00,0,1.39,0,1.42
2025/02/04 19:00,0,1.55,0,1.58
2025/02/04 20:00,0,1.35,0,1.39
2025/02/04 21:00,0,1.69,0,1.73
2025/02/04 22:00,0,1.46,0,1.5
2025/02/04 23:00,0,1.08,0,1.12
