データ日時,発電量(kwh),消費量(kwh),売電量(kwh),買電量(kwh)
2025/09/01 00:00,0,0.34,0,0.38
2025/09/01 01:00,0,0.37,0,0.41
2025/09/01 02:00,0,0.32,0,0.36
2025/09/01 03:00,0,0.33,0,0.37
2025/09/01 04:00,0,0.48,0,0.52
2025/09/01 05:00,0.02,0.54,0,0.54
2025/09/01 06:00,0.39,0.81,0,0.43
2025/09/01 07:00,0.45,0.51,0,0.12
2025/09/01 08:00,0.92,0.46,0,0
2025/09/01 09:00,1.8,0.45,0.03,0.01
2025/09/01 10:00,5.26,0.45,1.89,0
2025/09/01 11:00,7.98,0.46,5.57,0
2025/09/01 12:00,4.14,0.91,3.23,0
2025/09/01 13:00,2.21,0.46,1.76,0
2025/09/01 14:00,4.66,0.5,4.16,0
2025/09/01 15:00,1.75,0.52,1.22,0
2025/09/01 16:00,1.31,0.82,0.73,0.01
2025/09/01 17:00,0.2,0.74,0.01,0.01
2025/09/01 18:00,0,1.55,0.01,0.02
2025/09/01 19:00,0,1.47,0.01,0.02
2025/09/01 20:00,0,1.17,0,0
2025/09/01 21:00,0,0.79,0,0.12
2025/09/01 22:00,0,0.39,0,0.42
2025/09/01 23:00,0,0.35,0,0.38
2025/09/02 00:00,0,0.29,0,0.32
2025/09/02 01:00,0,0.85,0,0.88
2025/09/02 02:00,0,0.29,0,0.32
2025/09/02 03:00,0,0.29,0,0.32
2025/09/02 04:00,0,0.48,0,0.51
2025/09/02 05:00,0.12,0.37,0,0.26
2025/09/02 06:00,1.37,0.9,0,0.26
2025/09/02 07:00,2.33,0.53,0.04,0.01
2025/09/02 08:00,1.57,0.39,0.01,0
2025/09/02 09:00,1.16,0.34,0,0
2025/09/02 10:00,1.72,0.4,0.12,0
2025/09/02 11:00,1.09,0.37,0.01,0
2025/09/02 12:00,0.57,0.58,0.01,0.01
2025/09/02 13:00,1.43,0.32,0.74,0
2025/09/02 14:00,0.67,0.35,0.42,0
2025/09/02 15:00,2.24,0.35,1.91,0
2025/09/02 16:00,0.86,0.89,0.64,0
2025/09/02 17:00,0.19,1.48,0.01,0.01
2025/09/02 18:00,0,0.94,0.01,0.02
2025/09/02 19:00,0,1.39,0.01,0.04
2025/09/02 20:00,0,0.66,0,0
2025/09/02 21:00,0,0.66,0,0.11
2025/09/02 22:00,0,0.34,0,0.37
2025/09/02 23:00,0,0.27,0,0.3
2025/09/03 00:00,0,0.3,0,0.33
2025/09/03 01:00,0,0.3,0,0.33
2025/09/03 02:00,0,0.29,0,0.32
2025/09/03 03:00,0,0.28,0,0.31
2025/09/03 04:00,0,0.5,0,0.53
2025/09/03 05:00,0.03,0.29,0,0.27
2025/09/03 06:00,0.54,0.74,0,0.29
2025/09/03 07:00,2.2,0.47,0.01,0.01
2025/09/03 08:00,5.7,0.44,2.11,0
2025/09/03 09:00,7.44,0.33,5.26,0
2025/09/03 10:00,8,0.39,7.6,0
2025/09/03 11:00,8.21,0.36,7.85,0
2025/09/03 12:00,7.2,0.83,6.37,0
2025/09/03 13:00,5.84,0.42,5.43,0
2025/09/03 14:00,4.8,0.46,4.34,0
2025/09/03 15:00,3.22,0.41,2.81,0
2025/09/03 16:00,1.86,0.87,1.16,0
2025/09/03 17:00,0.33,1.54,0.01,0.01
2025/09/03 18:00,0,2.59,0.01,0.02
2025/09/03 19:00,0,1.08,0.01,0.01
2025/09/03 20:00,0,0.8,0,0.27
2025/09/03 21:00,0,0.41,0,0.45
2025/09/03 22:00,0,0.31,0,0.35
2025/09/03 23:00,0,0.3,0,0.34
2025/09/04 00:00,0,0.28,0,0.32
2025/09/04 01:00,0,0.27,0,0.31
2025/09/04 02:00,0,0.36,0,0.39
2025/09/04 03:00,0,0.26,0,0.3
2025/09/04 04:00,0,0.47,0,0.51
2025/09/04 05:00,0.08,0.42,0,0.36
2025/09/04 06:00,1.24,0.49,0,0.04
2025/09/04 07:00,3.73,0.41,0.01,0
2025/09/04 08:00,5,0.39,2.06,0
2025/09/04 09:00,6.54,0.33,6.21,0
2025/09/04 10:00,7.7,0.33,7.37,0
2025/09/04 11:00,6.2,0.4,5.8,0
2025/09/04 12:00,7.27,0.6,6.67,0
2025/09/04 13:00,3.81,0.41,3.4,0
2025/09/04 14:00,2.53,0.46,2.07,0
2025/09/04 15:00,2.77,0.39,2.38,0
2025/09/04 16:00,0.9,0.82,0.53,0
2025/09/04 17:00,0.02,1.09,0,0
2025/09/04 18:00,0,1.04,0.01,0.04
2025/09/04 19:00,0,0.87,0,0.04
2025/09/04 20:00,0,1.02,0,0.01
2025/09/04 21:00,0,0.58,0.01,0.01
2025/09/04 22:00,0,0.31,0,0
2025/09/04 23:00,0,0.3,0,0.13
2025/09/05 00:00,0,0.31,0,0.35
2025/09/05 01:00,0,0.29,0,0.33
2025/09/05 02:00,0,0.31,0,0.35
