データ日時,発電量(kwh),消費量(kwh),売電量(kwh),買電量(kwh)
2025/01/08 00:00,0,0.75,0,0.78
2025/01/08 01:00,0,0.9,0,0.93
2025/01/08 02:00,0,1.07,0,1.1
2025/01/08 03:00,0,0.89,0,0.93
2025/01/08 04:00,0,1.04,0,1.08
2025/01/08 05:00,0,1.25,0,1.29
2025/01/08 06:00,0,0.83,0,0.87
2025/01/08 07:00,0.13,0.92,0,0.8
2025/01/08 08:00,2.02,0.67,0.23,0.03
2025/01/08 09:00,4.55,0.72,0.21,0.01
2025/01/08 10:00,3.89,0.69,1.68,0.01
2025/01/08 11:00,4.29,0.75,3.55,0
2025/01/08 12:00,5.51,0.79,4.72,0
2025/01/08 13:00,4.63,0.69,3.93,0
2025/01/08 14:00,1.47,0.7,0.79,0
2025/01/08 15:00,0.42,2.55,0.02,0.01
2025/01/08 16:00,0.02,2.67,0.01,0
2025/01/08 17:00,0,1.81,0,1.52
2025/01/08 18:00,0,1.79,0,1.83
2025/01/08 19:00,0,1.64,0,1.68
2025/01/08 20:00,0,1.24,0,1.27
2025/01/08 21:00,0,1.34,0,1.38
2025/01/08 22:00,0,2.19,0,2.23
2025/01/08 23:00,0,0.9,0,0.94
2025/01/09 00:00,0,1.01,0,1.05
2025/01/09 01:00,0,0.81,0,0.85
2025/01/09 02:00,0,1.12,0,1.16
2025/01/09 03:00,0,0.97,0,1.01
2025/01/09 04:00,0,1.16,0,1.2
2025/01/09 05:00,0,2.71,0,2.75
2025/01/09 06:00,0,1.27,0,1.31
2025/01/09 07:00,0.1,1.17,0,1.08
2025/01/09 08:00,0.44,0.72,0,0.31
2025/01/09 09:00,1.47,0.79,0.01,0.1
2025/01/09 10:00,2.39,2.02,0.01,0.01
2025/01/09 11:00,1.21,0.68,0.01,0
2025/01/09 12:00,1.88,0.99,0.04,0
2025/01/09 13:00,1.64,0.78,0,0
2025/01/09 14:00,0.55,1.04,0.01,0.01
2025/01/09 15:00,0.4,3.28,0,0.98
2025/01/09 16:00,0.01,2.98,0,2.98
2025/01/09 17:00,0,2.29,0,2.31
2025/01/09 18:00,0,1.43,0,1.46
2025/01/09 19:00,0,1.67,0,1.7
2025/01/09 20:00,0,2.57,0,2.6
2025/01/09 21:00,0,1.42,0,1.45
2025/01/09 22:00,0,1.24,0,1.26
2025/01/09 23:00,0,1.74,0,1.77
2025/01/10 00:00,0,1.08,0,1.11
2025/01/10 01:00,0,0.85,0,0.88
2025/01/10 02:00,0,1.09,0,1.13
2025/01/10 03:00,0,1.03,0,1.07
2025/01/10 04:00,0,2.1,0,2.14
2025/01/10 05:00,0,1.55,0,1.59
2025/01/10 06:00,0,1.12,0,1.16
2025/01/10 07:00,0.11,1.3,0,1.19
2025/01/10 08:00,1.44,1.11,0.05,0.11
2025/01/10 09:00,1.89,2.21,0.01,0.33
2025/01/10 10:00,4.02,1.31,1.13,0.01
2025/01/10 11:00,4.85,0.87,1.54,0
2025/01/10 12:00,5.15,1.09,2.64,0
2025/01/10 13:00,4.51,0.91,3.6,0
2025/01/10 14:00,2.69,1.27,1.58,0
2025/01/10 15:00,0.55,2.79,0.01,0.01
